	BASO	CMP	EOS	ERY	GMP	GRAN	HSC	MEGA	MEP	MONO	PREB
208997_s_at	181.564927	51.997007	126.074236	532.106074	107.549386	298.77336	92.711377	145.19055	58.597731	196.964327	112.626901
208998_at	3204.034256	1636.128761	2470.18781	4701.753444	2298.482359	3651.765545	2052.47713	2801.367307	1675.474564	3550.4361	3520.145009
208999_at	52.718214	49.289152	71.336103	75.344662	57.692763	61.603903	61.27194	54.304517	64.482728	58.018151	38.164226
209000_s_at	22.607082	21.164421	21.984544	42.042897	45.050368	36.06182	28.656636	26.224557	29.259162	26.267749	21.019832
209001_s_at	66.312193	57.895111	73.020897	92.274097	121.873467	195.970829	295.814765	96.982194	183.349451	216.237271	52.544592
209002_s_at	69.155284	31.533809	54.7	296.214686	63.119708	102.557777	101.428324	78.471595	54.920361	100.139736	62.615456
209003_at	68.523151	28.831532	51.311891	75.714551	90.824518	194.797695	125.967415	81.933298	83.452691	180.210909	49.927653
209004_s_at	370.649125	271.174377	476.115003	288.328887	607.319007	925.225537	480.708723	570.954741	411.825608	1161.584572	407.427596
209005_at	106.143106	69.198329	132.846372	76.100909	202.344875	369.429479	215.922122	117.621391	130.903871	444.312069	135.700785
209006_s_at	199.847265	146.159199	284.107008	229.04011	421.426054	705.106517	467.914595	161.992871	286.688205	381.193733	101.249703
209007_s_at	449.262317	682.165748	665.36933	407.660447	888.888721	1306.973946	1066.557159	392.783518	794.161124	966.64283	235.556015
209008_x_at	25.023849	28.37073	25.709001	26.776371	27.317513	27.550356	28.834053	23.717944	25.285792	24.735607	22.903729
209009_at	261.651671	508.053478	296.802369	881.450418	444.112488	499.37508	1146.155728	430.57264	981.254212	648.827957	325.678581
209010_s_at	42.573866	62.420035	35.735206	42.409259	32.082578	32.074275	37.924104	40.572108	47.355988	38.403519	60.549635
209011_at	30.863906	33.83032	32.41504	35.741116	37.707504	38.817377	40.130738	31.08678	33.259802	35.866843	26.658355
209012_at	260.395672	44.621631	178.871274	54.154175	195.53144	215.833298	189.328544	143.495053	150.558273	318.807621	122.663773
