	BASO	CMP	EOS	ERY	GMP	GRAN	HSC	MEGA	MEP	MONO	PREB
211820_x_at	221.972151	388.380746	150.329369	9948.060453	1154.227506	1280.298303	2727.160901	573.024796	1623.899029	791.362765	168.067104
211821_x_at	471.989307	498.5256	316.401818	12819.93472	1542.092254	1269.575967	3164.30445	976.184523	2137.536171	1080.202708	403.964335
211822_s_at	34.4914	30.046712	32.552623	28.610033	38.446598	47.169904	33.364988	33.996211	27.601164	61.332473	35.001481
211823_s_at	37.834252	35.702719	29.739792	31.681724	32.920044	32.606044	32.23133	38.473048	28.863936	31.065554	34.405283
211824_x_at	46.624887	46.97974	50.665537	40.953368	60.583896	77.251279	47.347257	40.431315	40.092259	100.187243	34.114873
211825_s_at	43.910874	45.344067	38.489694	41.320667	39.493623	38.137694	42.046634	52.76234	45.156136	46.62236	69.921932
211826_s_at	32.701518	34.323501	33.597769	55.865375	27.851413	40.489604	54.009921	36.958664	40.451055	35.906435	36.292912
211827_s_at	87.572222	54.57945	71.557517	62.034644	56.98815	44.680843	48.594667	75.109929	64.43893	56.782321	69.725411
211828_s_at	47.202722	73.433447	70.954645	63.1342	62.136993	104.576046	94.749905	89.118721	95.337429	55.34349	37.042185
211829_s_at	22.805866	22.44344	20.99522	19.790044	24.328449	23.70234	21.493916	22.781884	21.616726	23.796636	22.377457
211830_s_at	31.485244	29.784777	31.182328	32.585659	31.424527	33.017168	32.182487	29.879206	28.898252	31.049352	30.318129
211831_s_at	44.122547	60.342493	66.756374	53.60385	66.811122	40.219442	51.641397	45.486282	65.778173	54.360224	70.814424
211832_s_at	69.065952	53.297622	53.661469	52.729942	52.427078	42.342623	44.059281	70.883088	45.834938	56.218702	67.965843
211833_s_at	55.621963	30.360619	42.876308	39.218485	62.253188	101.340416	56.876405	60.235753	51.817843	92.918169	49.267007
211834_s_at	35.566518	36.057541	38.655288	39.035866	35.790937	36.010435	36.487502	38.033534	37.084272	34.534187	46.061758
211835_at	29.116691	23.99027	28.547962	25.7893	25.692336	28.566454	27.035356	26.356353	26.446544	26.165859	23.301555
211836_s_at	38.140869	37.336624	47.842243	42.524162	40.429908	38.957117	42.601369	36.226518	40.952739	37.863742	32.645326
211837_s_at	50.769367	64.632828	56.436722	50.703513	45.800547	42.758827	43.745892	49.894604	51.563031	51.999886	70.895185
